#,Statement,Sources Retrieved,Sources Dropped,Reports Retrieved,Reports Dropped,Entities Retrieved,Entities Dropped,Relationships Retrieved,Relationships Dropped,Cross-type resolutions
1,"Overall classification precedent: multi‑service, multi‑site incidents that cross identity/mail/Direct‑Routing/print domains were handled as engineering (2nd‑level) incidents and required cross‑team escalation in the indexed cases","0, 8, 16, 23, 28",,,,,,,,
2,"Prior incidents with the same symptom class required application‑team and vendor escalation, FRDB/Data‑Mart resets and Microsoft support case opening (example: FRDB/Data Mart remediation and Microsoft support case #2404050050000982). The recorded remediation included FRDB / Data Mart actions and escalation to Microsoft support","0, 11",,,,,,,,
3,"Prior cases showed Exchange Event Log evidence with ""535 5.7.3 Authentication unsuccessful"" and tenant Security Defaults / Conditional Access blocking SMTP AUTH for legacy clients; remediation recorded in the ticket was to selectively re‑enable SMTP AUTH or adjust Conditional Access and then monitor mailflow",32,,,,,,,,
4,"A documented incident (TI‑1607314) found tenant External Access / Presence settings (AllowPublicUsers, AllowFederatedUsers, EnablePresencePrivacyMode / Presence Sharing policy) had been tightened and that reverting/adjusting these settings (via Teams admin / PowerShell) restored external presence; Teams Admin Center / Get‑CsTenantFederationConfiguration were used during troubleshooting",26,,,,,,,,
5,The Zurich one‑way audio case was traced to a weekend firewall security‑hardening change that limited outbound UDP ports (allowed only 3478–3481 and blocked the dynamic RTP range). Temporary opening of the wider RTP range restored media in tests; a permanent correction aligned the firewall to the Direct‑Routing / media‑flow blueprint,23,,5,,,,,,
6,"The Basel case was diagnosed as a NAT/UDP session timeout mismatch on the Voice VLAN (session timeout ~30s), validated with SBC/session tests, and fixed by aligning NAT/session timeouts to the Direct‑Routing blueprint; SBC logs showed SBC‑originated BYE at ~29–31s during the failing calls",16,,10,,,,,,
7,"The recorded investigation shows the carrier confirmed delivery of calls to the SIP trunk/SBC, but the SBC translation/normalization table lacked the new range. Applying a temporary translation rule validated call delivery; a permanent translation/routing update was then applied and validated",8,,,,,,,,
8,. The indexed records do not contain the carrier CDR files themselves — only the carrier confirmation and SBC log findings,8,,,,,,,,
9,GPO not applied / new user: gpupdate /force + re‑login successfully applied printer mappings in user sessions,39,,,,,,,,
10,Queue paused / jobs stuck: re‑activate server queue and restart jobs (worked in a recorded ticket),27,,,,,,,,
11,"Printer queue/share corruption after Windows update + VM restore (SAP print servers VRINFRGERPRNT03/04): spooler restart did not help, a VM restore was performed and then administrators cleared SAP backlog by disabling/re‑enabling the printer network share — that action cleared queued jobs and restored printing in that incident","28, 29",,,,,,,,
12,Access Denied was resolved in one case by removing an explicit Deny ACE on the queue,3,,,,,,,,
13,Basel printer jobs briefly appearing then vanishing were tied to reachability/routing/firewall between print server and the printer; a firewall/routing adjustment restored printing,22,,,,,,,,
