id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
25ca9756-a13d-47e6-b680-04113ee2385d,0,TI-722511,CUSTOMER COMPANY 11,Ticket TI-722511 was opened for and records issues affecting Customer Company 11's users and environments (UAT and PROD).,10.0,23,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
2bc2942a-41d0-4e79-86fd-c68f0e2a2c40,1,TI-722511,CONTACT PERSON 7,Contact Person 7 is the customer contact associated with TI-722511 and the reporting point for the incident.,8.0,19,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
c4688ad4-c929-42d8-ac1a-fead8ce29b26,2,TI-722511,EMPLOYEE 13,Employee 13 is listed as the owner of the ticket and performed coordination and updates during the incident lifecycle.,9.0,25,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
6ef3cb4d-9645-4477-8b91-df7fe49d0a93,3,TI-722511,EMPLOYEE 14,"Employee 14 recorded multiple portal notes, forwarded the case to a system engineer, and participated in calls — a primary support actor for the ticket.",9.0,29,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
899c43f5-1466-489c-81a8-4f6cde479dc1,4,TI-722511,MICROSOFT CRM PORTALS,The ticket and numerous portal notes/attachments were created and tracked in the Microsoft CRM Portals system (portal is the source for many entries).,9.0,31,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
fabbeb77-130b-4f4a-8b62-3d61a5ee530f,5,TI-722511,BU CUSTOMER SERVICES RUN,The ticket was assigned to BU Customer Services Run during initial intake for operational handling.,7.0,30,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
84266e71-3f34-4dee-a0fe-15a4f0fb6955,6,TI-722511,JIRA ICO261-183,"An internal JIRA ticket (ICO261-183) from Mexico records the same error, confirming the issue reported in TI-722511 is not isolated and is related/global.
The JIRA issue documents the same error reported in TI-722511 (opened from Mexico), implying both tickets track the same global problem and should be correlated for root-cause analysis.",16.0,20,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
7d9c6e27-40d1-4024-b9c6-374e30fcd807,7,TI-722511,AOS SERVERS,Closure actions on TI-722511 included restarting AOS servers; AOS server restarts were part of the remediation that resolved the incident.,9.0,28,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
c7a12d74-1d41-4ef4-a7f8-2d7ae7259f05,8,TI-722511,IISCRYPTO,IISCRYPTO was used as part of the remediation recorded in the ticket closure to activate best-practice cipher suites on servers.,8.0,21,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
8d07420e-756c-409a-b861-4b226f5e14bc,9,TI-722511,BEST-PRACTICE CIPHER SUITES,The ticket was closed after best-practice cipher suites were activated (using IISCRYPTO) — this configuration change is cited as part of the fix.,9.0,21,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
f6827d48-8fb3-497d-89c4-0af777d8f056,10,TI-722511,REGINA JAGSCH,"Regina Jagsch reported that EMEA finance employees could not open reports and that older report creators appeared as ""unknown"", contributing key symptom details recorded in portal notes for TI-722511.",8.0,19,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
a781d3d9-f76e-44b1-b368-dd4a21e445ad,11,TI-722511,ARTUR,Artur participated in troubleshooting calls logged against the ticket and is a stakeholder in the investigation.,6.0,20,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
d2924163-8a9c-4fc2-a6d7-16074842bc3e,12,TI-722511,MS. X,Ms. X was noted as absent/unavailable for testing until 16.04.2024; testing/resolution scheduling referenced this person.,5.0,20,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
63a927b7-eff8-4815-af87-9eec002425db,13,TI-722511,NETWORK INFRASTRUCTURE,"Network checks were performed and ""no irregularities were found in the network"", indicating network layer was investigated and not identified as the cause.",6.0,21,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
5b15f465-bde2-484e-99ec-d96340e5be74,14,TI-722511,ADFS,ADFS was considered during triage but explicitly excluded as the cause because only PROD was modified over the weekend — ADFS was ruled out by the investigators for this incident.,7.0,33,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea']
